toponimo_i,link,varon,mujer,totalpobl,hogares,viviendasp,viv_part_h,personasxvivienda,Area_RC,Pje_Total_BP_en_RC,Porcentaje_de_hogares_con_conexion_a_red,%conaccesoredgas,%dehogarescnib,%conaccesoredeagua,connivelsec,cestudiosuper,cal1,malacmateriales,superficie,densidad_p,palto,pmedioalto,pbajo,pmuybajo
298543,060351504,377,394,771,277,263,202,3.81683168316832,409400.903056353,0,95.31,89.89,10.83,100,51.34,66.4750957854406,97.52,2.48,414371.79,18.61,51.54,9.62,32.31,6.54
298544,060351505,485,533,1018,256,254,242,4.20661157024793,43451.685289979,0,96.43,94.53,8.98,87.89,59.44,62.2489959839357,97.11,2.89,43979.68,231.36,14.63,3.25,44.72,37.4
298555,060351605,388,415,803,264,302,251,3.199203187251,68184.1373799443,0,3.04,93.56,2.65,99.62,51.93,64.0366972477064,95.22,4.78,69014.56,116.38,52.21,11.5,34.07,2.21
298574,060351803,367,386,753,264,276,244,3.08606557377049,95504.1941490173,0,19.32,89.77,0.38,100,57.51,69.3877551020408,93.85,6.15,96669.78,77.87,50.43,9.13,34.35,6.09
298585,060351902,460,512,972,333,357,316,3.07594936708861,93348.7680397034,0,37.24,90.69,1.8,99.4,55.42,67.9566563467492,93.99,6.01,94491.03,102.86,41.92,12.03,39.86,6.19
298591,060351908,391,441,832,273,302,269,3.09293680297398,79785.2947720885,0,23.81,87.18,2.56,98.53,57.66,65.5855855855856,93.68,6.32,80760.53,102.97,35.2,9.69,43.37,11.73
298595,060352001,461,531,992,365,409,335,2.96119402985075,131711.627857447,0,87.4,95.07,1.64,99.18,42.58,63.6498516320475,97.31,2.69,133325.83,74.42,58.45,12.32,24.64,4.58
298603,060352009,411,461,872,312,309,280,3.11428571428571,95844.8940630853,0,90.06,93.59,2.24,99.68,53.08,62.2296173044925,91.79,8.21,97017.09,89.9,41.98,8.49,42.92,6.6
298619,060352202,303,347,650,262,289,256,2.5390625,64148.5863004625,0,97.7,96.56,1.91,100,45.72,68.8935281837161,96.87,3.13,64938.05,100.15,68.13,10.36,18.33,3.19
298623,060352206,327,384,711,275,345,269,2.64312267657993,77829.3954797387,0,98.91,98.91,0.36,99.64,42.47,67.5146771037182,99.63,0.37,78785.46,90.23,67.78,10.37,20,1.85
298626,060352209,276,333,609,227,286,223,2.73094170403587,76986.0172818303,0,98.24,99.12,1.76,100,46.76,71.9907407407407,99.55,0.45,77932.23,78.18,74.13,6.97,13.93,4.98
298643,060352404,481,528,1009,347,354,325,3.10461538461538,101265.018823862,0,71.3,85.3,4.03,98.27,55.74,63.6764705882353,93.23,6.77,102504.67,98.44,34.08,9.36,43.82,12.73
